number,count,frequency,posterior_mean,recency_score,markov_repeat_prob,current_streak,longest_streak,heuristic_score,rank
89,5,0.008417508417508417,0.010067114093959731,0.0030756489897452123,0.0,0,1,0.005194277069579875,70
81,5,0.008417508417508417,0.010067114093959731,0.003025947089551548,0.0,0,1,0.005176881404512092,71
97,6,0.010101010101010102,0.01174496644295302,0.0008554097465660352,0.0,0,1,0.005173639225141242,72
82,6,0.010101010101010102,0.01174496644295302,0.0007234296108151809,0.0,0,1,0.005127446177628443,73
77,6,0.010101010101010102,0.01174496644295302,0.00018608367725632426,0.0,0,1,0.004939375100882843,74
78,6,0.010101010101010102,0.01174496644295302,0.00013741188483825718,0.0,0,1,0.00492233997353652,75
64,6,0.010101010101010102,0.01174496644295302,4.633187103424767e-05,0.0,0,1,0.004890461968705117,76
46,6,0.010101010101010102,0.01174496644295302,2.1847923555385793e-05,0.0,0,1,0.0048818925870875145,77
8,5,0.008417508417508417,0.010067114093959731,0.001885502488553974,0.0,0,1,0.004777725794162941,78
85,5,0.008417508417508417,0.010067114093959731,0.0011149456039307268,0.0,0,1,0.004508030884544805,79
30,5,0.008417508417508417,0.010067114093959731,0.0009002400520842896,0.0,0,1,0.0044328839413985514,80
72,5,0.008417508417508417,0.010067114093959731,0.0007209304728533814,0.0,0,1,0.004370125588667733,81
61,5,0.008417508417508417,0.010067114093959731,0.0002466322318356457,0.0,0,1,0.004204121204311526,82
1,5,0.008417508417508417,0.010067114093959731,0.00011886034183764478,0.0,0,1,0.004159401042812226,83
28,4,0.006734006734006734,0.008389261744966443,0.001975670801587084,0.0,0,1,0.004052838813050451,84
76,4,0.006734006734006734,0.008389261744966443,0.00024232951758636575,0.0,0,1,0.0034461693636502,85
37,4,0.006734006734006734,0.008389261744966443,0.00010275545900215897,0.0,0,1,0.003397318443145728,86
54,4,0.006734006734006734,0.008389261744966443,6.336990705896506e-05,0.0,0,1,0.00338353349996561,87
